                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.88279,                0.91661,                0.89075,                0.53267,                0.82016,                0.64854,                0.48717,                 0.8729,                 1.0333,                0.85817,             0.00084184,             0.00084184,             0.00084184
                    153,                0.87539,                0.94121,                0.89197,                0.53267,                0.82016,                0.64854,                0.48717,                 0.8729,                 1.0333,                0.85817,             0.00083633,             0.00083633,             0.00083633
                    154,                0.76859,                0.95496,                0.86237,                0.52378,                 0.8079,                0.64065,                0.48252,                0.88531,                 1.0132,                0.86157,             0.00083083,             0.00083083,             0.00083083
                    155,                0.97724,                0.98508,                0.87508,                0.52378,                 0.8079,                0.64065,                0.48252,                0.88531,                 1.0132,                0.86157,             0.00082533,             0.00082533,             0.00082533
                    156,                0.90561,                0.93942,                0.88165,                0.52378,                 0.8079,                0.64065,                0.48252,                0.88531,                 1.0132,                0.86157,             0.00081983,             0.00081983,             0.00081983
                    157,                0.92433,                0.95473,                0.88344,                0.52137,                0.80381,                0.64536,                0.49802,                0.83211,                 1.0101,                0.85428,             0.00081433,             0.00081433,             0.00081433
                    158,                0.84496,                0.87658,                0.87019,                0.52137,                0.80381,                0.64536,                0.49802,                0.83211,                 1.0101,                0.85428,             0.00080883,             0.00080883,             0.00080883
                    159,                0.86847,                0.95073,                0.87968,                0.52137,                0.80381,                0.64536,                0.49802,                0.83211,                 1.0101,                0.85428,             0.00080333,             0.00080333,             0.00080333
                    160,                0.81536,                0.91458,                0.86451,                0.52458,                0.80926,                0.66573,                0.52169,                0.80906,                0.99324,                0.85191,             0.00079783,             0.00079783,             0.00079783
                    161,                0.93112,                0.88381,                 0.8893,                0.52458,                0.80926,                0.66573,                0.52169,                0.80906,                0.99324,                0.85191,             0.00079233,             0.00079233,             0.00079233
                    162,                0.79627,                0.92799,                0.86658,                0.52458,                0.80926,                0.66573,                0.52169,                0.80906,                0.99324,                0.85191,             0.00078682,             0.00078682,             0.00078682
                    163,                0.84627,                0.94954,                0.87239,                  0.531,                0.82016,                  0.673,                0.52252,                0.82405,                0.99904,                  0.852,             0.00078132,             0.00078132,             0.00078132
                    164,                0.86711,                0.99185,                0.88978,                  0.531,                0.82016,                  0.673,                0.52252,                0.82405,                0.99904,                  0.852,             0.00077582,             0.00077582,             0.00077582
                    165,                0.81054,                0.97437,                0.87146,                  0.531,                0.82016,                  0.673,                0.52252,                0.82405,                0.99904,                  0.852,             0.00077032,             0.00077032,             0.00077032
                    166,                0.89042,                 1.0222,                0.85832,                  0.531,                0.82016,                  0.673,                0.52252,                0.82405,                0.99904,                  0.852,             0.00076482,             0.00076482,             0.00076482
                    167,                0.86001,                0.92196,                 0.8571,                0.54959,                0.80947,                0.68724,                0.51766,                 0.8649,                 1.0133,                0.85536,             0.00075932,             0.00075932,             0.00075932
                    168,                0.82846,                0.96359,                0.86258,                0.54959,                0.80947,                0.68724,                0.51766,                 0.8649,                 1.0133,                0.85536,             0.00075382,             0.00075382,             0.00075382
                    169,                0.87238,                0.97736,                0.84394,                0.54959,                0.80947,                0.68724,                0.51766,                 0.8649,                 1.0133,                0.85536,             0.00074832,             0.00074832,             0.00074832
                    170,                0.92806,                0.86785,                0.87987,                0.54587,                0.80926,                  0.687,                0.52145,                0.85143,                 1.0166,                0.85274,             0.00074282,             0.00074282,             0.00074282
                    171,                0.92265,                 0.9361,                0.86723,                0.54587,                0.80926,                  0.687,                0.52145,                0.85143,                 1.0166,                0.85274,             0.00073731,             0.00073731,             0.00073731
                    172,                0.87666,                0.91421,                0.86986,                0.54587,                0.80926,                  0.687,                0.52145,                0.85143,                 1.0166,                0.85274,             0.00073181,             0.00073181,             0.00073181
                    173,                0.91383,                0.92566,                0.86804,                0.55294,                0.83078,                0.69825,                0.53968,                0.81012,                0.99517,                0.84977,             0.00072631,             0.00072631,             0.00072631
                    174,                0.91011,                0.89924,                0.88718,                0.55294,                0.83078,                0.69825,                0.53968,                0.81012,                0.99517,                0.84977,             0.00072081,             0.00072081,             0.00072081
                    175,                0.96212,                0.92015,                 0.8928,                0.55294,                0.83078,                0.69825,                0.53968,                0.81012,                0.99517,                0.84977,             0.00071531,             0.00071531,             0.00071531
                    176,                0.83128,                0.93565,                0.86454,                0.56856,                0.85286,                0.70532,                0.55092,                0.79869,                0.97974,                0.84782,             0.00070981,             0.00070981,             0.00070981
                    177,                0.96854,                0.91467,                0.88737,                0.56856,                0.85286,                0.70532,                0.55092,                0.79869,                0.97974,                0.84782,             0.00070431,             0.00070431,             0.00070431
                    178,                0.82087,                0.89782,                 0.8664,                0.56856,                0.85286,                0.70532,                0.55092,                0.79869,                0.97974,                0.84782,             0.00069881,             0.00069881,             0.00069881
                    179,                 1.0253,                0.92467,                0.90051,                 0.5701,                0.85831,                0.71342,                0.55474,                 0.8038,                0.97125,                0.85107,             0.00069331,             0.00069331,             0.00069331
                    180,                0.89272,                0.95919,                0.86981,                 0.5701,                0.85831,                0.71342,                0.55474,                 0.8038,                0.97125,                0.85107,              0.0006878,              0.0006878,              0.0006878
                    181,                0.84716,                0.95369,                0.86262,                 0.5701,                0.85831,                0.71342,                0.55474,                 0.8038,                0.97125,                0.85107,              0.0006823,              0.0006823,              0.0006823
                    182,                 0.9009,                0.99126,                0.87918,                 0.5701,                0.85831,                0.71342,                0.55474,                 0.8038,                0.97125,                0.85107,              0.0006768,              0.0006768,              0.0006768
                    183,                0.83434,                0.86062,                0.88222,                0.59152,                0.85559,                0.71095,                0.54152,                0.82584,                 0.9814,                0.85602,              0.0006713,              0.0006713,              0.0006713
                    184,                0.79815,                0.96341,                0.86025,                0.59152,                0.85559,                0.71095,                0.54152,                0.82584,                 0.9814,                0.85602,              0.0006658,              0.0006658,              0.0006658
                    185,                0.82383,                0.89105,                0.87443,                0.59152,                0.85559,                0.71095,                0.54152,                0.82584,                 0.9814,                0.85602,              0.0006603,              0.0006603,              0.0006603
                    186,                0.88806,                0.95422,                0.87561,                0.60059,                0.83589,                0.70509,                0.51405,                0.88727,                 1.0349,                0.86207,              0.0006548,              0.0006548,              0.0006548
                    187,                 0.9184,                0.98071,                 0.8669,                0.60059,                0.83589,                0.70509,                0.51405,                0.88727,                 1.0349,                0.86207,              0.0006493,              0.0006493,              0.0006493
                    188,                0.85309,                0.93261,                0.86878,                0.60059,                0.83589,                0.70509,                0.51405,                0.88727,                 1.0349,                0.86207,              0.0006438,              0.0006438,              0.0006438
                    189,                0.88526,                0.96406,                0.86541,                0.61695,                0.81682,                0.72767,                0.52805,                0.89785,                 1.0168,                0.86332,             0.00063829,             0.00063829,             0.00063829
                    190,                0.84342,                0.97729,                0.85194,                0.61695,                0.81682,                0.72767,                0.52805,                0.89785,                 1.0168,                0.86332,             0.00063279,             0.00063279,             0.00063279
                    191,                0.88751,                0.98165,                0.86211,                0.61695,                0.81682,                0.72767,                0.52805,                0.89785,                 1.0168,                0.86332,             0.00062729,             0.00062729,             0.00062729
                    192,                0.82351,                0.93367,                0.86773,                0.62484,                0.81471,                0.74398,                 0.5502,                 0.8534,                0.98271,                0.85747,             0.00062179,             0.00062179,             0.00062179
                    193,                0.94409,                0.93366,                0.88775,                0.62484,                0.81471,                0.74398,                 0.5502,                 0.8534,                0.98271,                0.85747,             0.00061629,             0.00061629,             0.00061629
                    194,                0.74914,                0.89132,                0.85527,                0.62484,                0.81471,                0.74398,                 0.5502,                 0.8534,                0.98271,                0.85747,             0.00061079,             0.00061079,             0.00061079
                    195,                0.74524,                0.88767,                 0.8586,                0.63199,                 0.8188,                0.75134,                0.57697,                0.80237,                0.94597,                 0.8507,             0.00060529,             0.00060529,             0.00060529
                    196,                 0.8597,                0.91349,                0.85742,                0.63199,                 0.8188,                0.75134,                0.57697,                0.80237,                0.94597,                 0.8507,             0.00059979,             0.00059979,             0.00059979
                    197,                0.88518,                0.96215,                0.87254,                0.63199,                 0.8188,                0.75134,                0.57697,                0.80237,                0.94597,                 0.8507,             0.00059429,             0.00059429,             0.00059429
                    198,                0.84454,                0.83521,                0.88004,                0.63199,                 0.8188,                0.75134,                0.57697,                0.80237,                0.94597,                 0.8507,             0.00058878,             0.00058878,             0.00058878
                    199,                 0.9661,                0.96453,                 0.8682,                0.63525,                0.83106,                0.76183,                0.58937,                0.80101,                0.92874,                0.84812,             0.00058328,             0.00058328,             0.00058328
                    200,                0.90191,                0.97024,                0.85925,                0.63525,                0.83106,                0.76183,                0.58937,                0.80101,                0.92874,                0.84812,             0.00057778,             0.00057778,             0.00057778
                    201,                0.91166,                0.86587,                 0.8855,                0.63525,                0.83106,                0.76183,                0.58937,                0.80101,                0.92874,                0.84812,             0.00057228,             0.00057228,             0.00057228
                    202,                0.85121,                0.88109,                0.87906,                0.64971,                0.82642,                0.76196,                0.58795,                0.80967,                0.92503,                0.84679,             0.00056678,             0.00056678,             0.00056678
                    203,                0.86358,                0.86626,                0.87623,                0.64971,                0.82642,                0.76196,                0.58795,                0.80967,                0.92503,                0.84679,             0.00056128,             0.00056128,             0.00056128
                    204,                0.85091,                0.95997,                0.86365,                0.64971,                0.82642,                0.76196,                0.58795,                0.80967,                0.92503,                0.84679,             0.00055578,             0.00055578,             0.00055578
                    205,                0.86411,                0.87559,                0.87024,                0.65913,                0.80109,                 0.7684,                0.58619,                0.82305,                0.92271,                0.85144,             0.00055028,             0.00055028,             0.00055028
                    206,                0.84853,                0.93095,                0.85598,                0.65913,                0.80109,                 0.7684,                0.58619,                0.82305,                0.92271,                0.85144,             0.00054478,             0.00054478,             0.00054478
                    207,                0.80996,                0.80123,                0.87092,                0.65913,                0.80109,                 0.7684,                0.58619,                0.82305,                0.92271,                0.85144,             0.00053927,             0.00053927,             0.00053927
                    208,                0.80769,                0.93856,                 0.8597,                0.66121,                0.80245,                0.76763,                0.57636,                 0.8485,                0.93237,                0.85607,             0.00053377,             0.00053377,             0.00053377
                    209,                0.82899,                0.87251,                 0.8623,                0.66121,                0.80245,                0.76763,                0.57636,                 0.8485,                0.93237,                0.85607,             0.00052827,             0.00052827,             0.00052827
                    210,                 0.8601,                0.89764,                0.86833,                0.66121,                0.80245,                0.76763,                0.57636,                 0.8485,                0.93237,                0.85607,             0.00052277,             0.00052277,             0.00052277
                    211,                0.91848,                0.85029,                0.88611,                0.66129,                0.80109,                0.76557,                0.56876,                0.85913,                0.93253,                0.85624,             0.00051727,             0.00051727,             0.00051727
                    212,                0.86141,                0.89847,                0.87152,                0.66129,                0.80109,                0.76557,                0.56876,                0.85913,                0.93253,                0.85624,             0.00051177,             0.00051177,             0.00051177
                    213,                0.88465,                0.87334,                0.88448,                0.66129,                0.80109,                0.76557,                0.56876,                0.85913,                0.93253,                0.85624,             0.00050627,             0.00050627,             0.00050627
                    214,                0.82885,                0.88198,                0.86686,                0.66129,                0.80109,                0.76557,                0.56876,                0.85913,                0.93253,                0.85624,             0.00050077,             0.00050077,             0.00050077
                    215,                0.79673,                 0.8388,                 0.8666,                0.66703,                0.79837,                0.76643,                0.55839,                0.90029,                0.94235,                0.86142,             0.00049527,             0.00049527,             0.00049527
                    216,                 0.9017,                0.94681,                0.87131,                0.66703,                0.79837,                0.76643,                0.55839,                0.90029,                0.94235,                0.86142,             0.00048976,             0.00048976,             0.00048976
                    217,                0.91834,                0.92841,                0.88375,                0.66703,                0.79837,                0.76643,                0.55839,                0.90029,                0.94235,                0.86142,             0.00048426,             0.00048426,             0.00048426
                    218,                 0.9027,                0.89122,                0.87975,                 0.6692,                0.80245,                0.77637,                0.57384,                0.87974,                0.94169,                0.85894,             0.00047876,             0.00047876,             0.00047876
                    219,                0.90033,                0.89677,                0.86749,                 0.6692,                0.80245,                0.77637,                0.57384,                0.87974,                0.94169,                0.85894,             0.00047326,             0.00047326,             0.00047326
                    220,                0.86731,                0.97142,                0.86325,                 0.6692,                0.80245,                0.77637,                0.57384,                0.87974,                0.94169,                0.85894,             0.00046776,             0.00046776,             0.00046776
                    221,                0.87241,                0.87209,                0.86729,                0.68897,                0.81154,                0.77964,                0.59085,                0.84207,                0.94097,                0.85307,             0.00046226,             0.00046226,             0.00046226
                    222,                0.91143,                0.80556,                0.90453,                0.68897,                0.81154,                0.77964,                0.59085,                0.84207,                0.94097,                0.85307,             0.00045676,             0.00045676,             0.00045676
                    223,                0.87448,                0.87826,                0.87108,                0.68897,                0.81154,                0.77964,                0.59085,                0.84207,                0.94097,                0.85307,             0.00045126,             0.00045126,             0.00045126
                    224,                0.87879,                0.85565,                0.89312,                0.71643,                0.79562,                0.78046,                0.59557,                0.82192,                0.92076,                0.85152,             0.00044576,             0.00044576,             0.00044576
                    225,                0.75242,                0.91824,                0.85969,                0.71643,                0.79562,                0.78046,                0.59557,                0.82192,                0.92076,                0.85152,             0.00044025,             0.00044025,             0.00044025
                    226,                0.85572,                0.86645,                0.87259,                0.71643,                0.79562,                0.78046,                0.59557,                0.82192,                0.92076,                0.85152,             0.00043475,             0.00043475,             0.00043475
                    227,                0.91165,                0.85835,                0.86552,                0.71362,                0.79588,                0.78282,                0.60127,                0.81116,                0.91397,                0.84895,             0.00042925,             0.00042925,             0.00042925
                    228,                0.87068,                0.81388,                0.86965,                0.71362,                0.79588,                0.78282,                0.60127,                0.81116,                0.91397,                0.84895,             0.00042375,             0.00042375,             0.00042375
                    229,                0.82859,                0.84142,                0.87843,                0.71362,                0.79588,                0.78282,                0.60127,                0.81116,                0.91397,                0.84895,             0.00041825,             0.00041825,             0.00041825
                    230,                0.90925,                0.83019,                 0.8704,                0.71362,                0.79588,                0.78282,                0.60127,                0.81116,                0.91397,                0.84895,             0.00041275,             0.00041275,             0.00041275
                    231,                0.87023,                0.90396,                0.86942,                0.69937,                0.81101,                0.77827,                0.60267,                0.81074,                0.90244,                  0.848,             0.00040725,             0.00040725,             0.00040725
                    232,                0.71177,                0.92715,                0.85127,                0.69937,                0.81101,                0.77827,                0.60267,                0.81074,                0.90244,                  0.848,             0.00040175,             0.00040175,             0.00040175
                    233,                0.89307,                0.89286,                 0.8557,                0.69937,                0.81101,                0.77827,                0.60267,                0.81074,                0.90244,                  0.848,             0.00039625,             0.00039625,             0.00039625
                    234,                0.80809,                0.81664,                0.86941,                 0.6906,                0.81718,                 0.7744,                0.60553,                0.81089,                0.89355,                0.84578,             0.00039074,             0.00039074,             0.00039074
                    235,                0.94372,                0.90937,                0.88225,                 0.6906,                0.81718,                 0.7744,                0.60553,                0.81089,                0.89355,                0.84578,             0.00038524,             0.00038524,             0.00038524
                    236,                0.77765,                0.87611,                0.85968,                 0.6906,                0.81718,                 0.7744,                0.60553,                0.81089,                0.89355,                0.84578,             0.00037974,             0.00037974,             0.00037974
                    237,                0.93561,                0.87909,                0.87382,                0.69125,                0.82338,                0.76644,                0.59681,                0.81659,                0.90486,                0.84665,             0.00037424,             0.00037424,             0.00037424
                    238,                0.84013,                0.88474,                  0.886,                0.69125,                0.82338,                0.76644,                0.59681,                0.81659,                0.90486,                0.84665,             0.00036874,             0.00036874,             0.00036874
                    239,                0.86131,                0.84502,                0.87886,                0.69125,                0.82338,                0.76644,                0.59681,                0.81659,                0.90486,                0.84665,             0.00036324,             0.00036324,             0.00036324
                    240,                0.91158,                 0.8402,                0.86907,                0.69914,                0.82522,                0.76727,                0.59773,                0.80627,                0.89873,                0.84925,             0.00035774,             0.00035774,             0.00035774
                    241,                0.74195,                0.82166,                0.85502,                0.69914,                0.82522,                0.76727,                0.59773,                0.80627,                0.89873,                0.84925,             0.00035224,             0.00035224,             0.00035224
                    242,                0.79841,                0.82936,                0.86909,                0.69914,                0.82522,                0.76727,                0.59773,                0.80627,                0.89873,                0.84925,             0.00034674,             0.00034674,             0.00034674
                    243,                0.86222,                0.85125,                0.89164,                 0.7009,                0.82224,                 0.7452,                0.57965,                0.79727,                0.89197,                0.85097,             0.00034123,             0.00034123,             0.00034123
                    244,                0.89607,                0.89875,                0.86626,                 0.7009,                0.82224,                 0.7452,                0.57965,                0.79727,                0.89197,                0.85097,             0.00033573,             0.00033573,             0.00033573
                    245,                0.86024,                0.85794,                0.88432,                 0.7009,                0.82224,                 0.7452,                0.57965,                0.79727,                0.89197,                0.85097,             0.00033023,             0.00033023,             0.00033023
                    246,                0.73136,                0.84717,                0.85415,                 0.7009,                0.82224,                 0.7452,                0.57965,                0.79727,                0.89197,                0.85097,             0.00032473,             0.00032473,             0.00032473
                    247,                 0.8521,                0.85275,                0.87526,                0.69396,                0.83279,                0.76296,                0.58215,                0.81093,                0.89039,                0.85195,             0.00031923,             0.00031923,             0.00031923
                    248,                 0.8858,                0.88649,                0.87301,                0.69396,                0.83279,                0.76296,                0.58215,                0.81093,                0.89039,                0.85195,             0.00031373,             0.00031373,             0.00031373
                    249,                0.82779,                0.85909,                0.87005,                0.69396,                0.83279,                0.76296,                0.58215,                0.81093,                0.89039,                0.85195,             0.00030823,             0.00030823,             0.00030823
                    250,                0.89315,                0.87949,                0.86442,                0.69025,                0.84321,                0.77016,                0.57455,                0.84383,                0.88798,                0.85784,             0.00030273,             0.00030273,             0.00030273
                    251,                0.84598,                0.83506,                0.87008,                0.69025,                0.84321,                0.77016,                0.57455,                0.84383,                0.88798,                0.85784,             0.00029723,             0.00029723,             0.00029723
                    252,                0.97489,                0.88841,                 0.8599,                0.69025,                0.84321,                0.77016,                0.57455,                0.84383,                0.88798,                0.85784,             0.00029172,             0.00029172,             0.00029172
                    253,                0.85648,                0.81906,                0.87706,                 0.6982,                0.83055,                0.76588,                0.56461,                0.87624,                0.89252,                0.85914,             0.00028622,             0.00028622,             0.00028622
                    254,                0.88707,                0.85715,                0.86515,                 0.6982,                0.83055,                0.76588,                0.56461,                0.87624,                0.89252,                0.85914,             0.00028072,             0.00028072,             0.00028072
                    255,                0.91745,                0.93935,                0.87309,                 0.6982,                0.83055,                0.76588,                0.56461,                0.87624,                0.89252,                0.85914,             0.00027522,             0.00027522,             0.00027522
                    256,                0.82845,                0.88397,                0.86609,                0.69548,                0.82524,                0.77741,                 0.5739,                0.87387,                0.87994,                0.85854,             0.00026972,             0.00026972,             0.00026972
                    257,                0.89497,                0.88283,                0.86044,                0.69548,                0.82524,                0.77741,                 0.5739,                0.87387,                0.87994,                0.85854,             0.00026422,             0.00026422,             0.00026422
                    258,                 0.8983,                0.87319,                0.87365,                0.69548,                0.82524,                0.77741,                 0.5739,                0.87387,                0.87994,                0.85854,             0.00025872,             0.00025872,             0.00025872
                    259,                0.85581,                0.82794,                0.86692,                0.70766,                0.81297,                0.78044,                 0.5858,                0.85142,                0.86997,                 0.8563,             0.00025322,             0.00025322,             0.00025322
                    260,                0.87941,                0.84747,                0.87395,                0.70766,                0.81297,                0.78044,                 0.5858,                0.85142,                0.86997,                 0.8563,             0.00024772,             0.00024772,             0.00024772
                    261,                 0.8524,                0.88431,                0.87027,                0.70766,                0.81297,                0.78044,                 0.5858,                0.85142,                0.86997,                 0.8563,             0.00024222,             0.00024222,             0.00024222
                    262,                 0.8904,                0.85784,                0.87636,                0.70766,                0.81297,                0.78044,                 0.5858,                0.85142,                0.86997,                 0.8563,             0.00023671,             0.00023671,             0.00023671
                    263,                0.93376,                0.83419,                0.86682,                0.72565,                0.81175,                0.77211,                0.58986,                0.81794,                0.87634,                0.85234,             0.00023121,             0.00023121,             0.00023121
                    264,                0.75829,                0.82017,                   0.86,                0.72565,                0.81175,                0.77211,                0.58986,                0.81794,                0.87634,                0.85234,             0.00022571,             0.00022571,             0.00022571
                    265,                0.78296,                0.84107,                0.85999,                0.72565,                0.81175,                0.77211,                0.58986,                0.81794,                0.87634,                0.85234,             0.00022021,             0.00022021,             0.00022021
                    266,                0.82097,                0.83215,                0.87746,                0.73323,                0.81836,                 0.7764,                0.60327,                0.79794,                0.86712,                0.84904,             0.00021471,             0.00021471,             0.00021471
                    267,                 0.8482,                0.80489,                0.88958,                0.73323,                0.81836,                 0.7764,                0.60327,                0.79794,                0.86712,                0.84904,             0.00020921,             0.00020921,             0.00020921
                    268,                0.79734,                0.87552,                0.86331,                0.73323,                0.81836,                 0.7764,                0.60327,                0.79794,                0.86712,                0.84904,             0.00020371,             0.00020371,             0.00020371
                    269,                0.83441,                0.85362,                0.87799,                0.72788,                0.82521,                0.77541,                0.60492,                0.79063,                0.86707,                0.84735,             0.00019821,             0.00019821,             0.00019821
                    270,                0.98213,                0.85044,                0.88883,                0.72788,                0.82521,                0.77541,                0.60492,                0.79063,                0.86707,                0.84735,             0.00019271,             0.00019271,             0.00019271
                    271,                0.82326,                0.89526,                0.86755,                0.72788,                0.82521,                0.77541,                0.60492,                0.79063,                0.86707,                0.84735,              0.0001872,              0.0001872,              0.0001872
                    272,                 0.8556,                0.79102,                0.85267,                 0.7369,                0.82026,                0.78588,                0.61251,                0.79293,                0.86329,                0.84526,              0.0001817,              0.0001817,              0.0001817
                    273,                0.89549,                0.85749,                0.89023,                 0.7369,                0.82026,                0.78588,                0.61251,                0.79293,                0.86329,                0.84526,              0.0001762,              0.0001762,              0.0001762
                    274,                0.87304,                0.86987,                0.87656,                 0.7369,                0.82026,                0.78588,                0.61251,                0.79293,                0.86329,                0.84526,              0.0001707,              0.0001707,              0.0001707
                    275,                0.79288,                0.81683,                 0.8644,                0.72374,                0.83066,                 0.7791,                0.60921,                0.79223,                0.85637,                0.84631,              0.0001652,              0.0001652,              0.0001652
                    276,                0.91948,                0.84983,                0.88068,                0.72374,                0.83066,                 0.7791,                0.60921,                0.79223,                0.85637,                0.84631,              0.0001597,              0.0001597,              0.0001597
                    277,                0.84391,                 0.7959,                0.87524,                0.72374,                0.83066,                 0.7791,                0.60921,                0.79223,                0.85637,                0.84631,              0.0001542,              0.0001542,              0.0001542
                    278,                0.77993,                0.81842,                0.86057,                0.72374,                0.83066,                 0.7791,                0.60921,                0.79223,                0.85637,                0.84631,              0.0001487,              0.0001487,              0.0001487
                    279,                0.75143,                0.78924,                0.85457,                0.73711,                0.80868,                0.79227,                0.61514,                0.78936,                 0.8484,                0.84794,              0.0001432,              0.0001432,              0.0001432
                    280,                0.80061,                0.87564,                0.86336,                0.73711,                0.80868,                0.79227,                0.61514,                0.78936,                 0.8484,                0.84794,             0.00013769,             0.00013769,             0.00013769
                    281,                0.78234,                0.79522,                0.86352,                0.73711,                0.80868,                0.79227,                0.61514,                0.78936,                 0.8484,                0.84794,             0.00013219,             0.00013219,             0.00013219
                    282,                0.80786,                0.80897,                0.87609,                0.72622,                0.83191,                0.79301,                0.61254,                0.79142,                0.85162,                0.84831,             0.00012669,             0.00012669,             0.00012669
                    283,                0.83201,                 0.7969,                0.86107,                0.72622,                0.83191,                0.79301,                0.61254,                0.79142,                0.85162,                0.84831,             0.00012119,             0.00012119,             0.00012119
                    284,                 0.7964,                0.83974,                0.86037,                0.72622,                0.83191,                0.79301,                0.61254,                0.79142,                0.85162,                0.84831,             0.00011569,             0.00011569,             0.00011569
                    285,                0.82102,                0.84407,                0.88197,                0.72913,                0.83316,                0.79302,                0.60624,                0.79625,                0.85471,                 0.8488,             0.00011019,             0.00011019,             0.00011019
                    286,                 0.7844,                0.83866,                0.84975,                0.72913,                0.83316,                0.79302,                0.60624,                0.79625,                0.85471,                 0.8488,             0.00010469,             0.00010469,             0.00010469
                    287,                0.83103,                0.81135,                0.88126,                0.72913,                0.83316,                0.79302,                0.60624,                0.79625,                0.85471,                 0.8488,             9.9187e-05,             9.9187e-05,             9.9187e-05
                    288,                0.74262,                0.83765,                0.85038,                0.71965,                0.81442,                0.80222,                0.61253,                0.80133,                0.85087,                0.85048,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    289,                0.90543,                0.80594,                0.89037,                0.71965,                0.81442,                0.80222,                0.61253,                0.80133,                0.85087,                0.85048,             8.8184e-05,             8.8184e-05,             8.8184e-05
                    290,                0.76731,                0.80352,                 0.8572,                0.71965,                0.81442,                0.80222,                0.61253,                0.80133,                0.85087,                0.85048,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    291,                0.86067,                0.97223,                0.84547,                 0.7111,                0.80438,                0.78416,                0.59602,                0.80995,                0.83107,                 0.8493,             7.7182e-05,             7.7182e-05,             7.7182e-05
                    292,                0.84904,                0.88838,                0.86831,                 0.7111,                0.80438,                0.78416,                0.59602,                0.80995,                0.83107,                 0.8493,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    293,                0.82819,                0.95554,                0.84757,                 0.7111,                0.80438,                0.78416,                0.59602,                0.80995,                0.83107,                 0.8493,              6.618e-05,              6.618e-05,              6.618e-05
                    294,                0.90223,                 1.1025,                0.84767,                 0.7111,                0.80438,                0.78416,                0.59602,                0.80995,                0.83107,                 0.8493,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    295,                0.85686,                 1.0758,                0.85423,                0.68038,                0.80357,                0.77197,                0.58325,                0.82611,                0.85868,                0.84659,             5.5178e-05,             5.5178e-05,             5.5178e-05
                    296,                0.85938,                 1.1517,                 0.8451,                0.68038,                0.80357,                0.77197,                0.58325,                0.82611,                0.85868,                0.84659,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    297,                0.83936,                0.92724,                 0.8686,                0.68038,                0.80357,                0.77197,                0.58325,                0.82611,                0.85868,                0.84659,             4.4176e-05,             4.4176e-05,             4.4176e-05
                    298,                0.85762,                0.95875,                0.88468,                0.69283,                0.81359,                0.77016,                0.58178,                 0.8215,                0.83238,                0.84932,             3.8674e-05,             3.8674e-05,             3.8674e-05
                    299,                0.83994,                0.97685,                0.84438,                0.69283,                0.81359,                0.77016,                0.58178,                 0.8215,                0.83238,                0.84932,             3.3173e-05,             3.3173e-05,             3.3173e-05
                    300,                0.91198,                 1.2706,                0.84526,                0.69283,                0.81359,                0.77016,                0.58178,                 0.8215,                0.83238,                0.84932,             2.7672e-05,             2.7672e-05,             2.7672e-05
