                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2862,                 1.8574,                0.95527,                0.45651,                0.69755,                0.47164,                0.34436,                  1.039,                 1.7714,                0.88105,              0.0014855,              0.0014855,              0.0014855
                     36,                 1.1227,                 1.7848,                0.92149,                0.45651,                0.69755,                0.47164,                0.34436,                  1.039,                 1.7714,                0.88105,                0.00148,                0.00148,                0.00148
                     37,                 1.1972,                 1.7831,                0.93859,                0.45651,                0.69755,                0.47164,                0.34436,                  1.039,                 1.7714,                0.88105,              0.0014745,              0.0014745,              0.0014745
                     38,                 1.1094,                 1.7422,                0.93443,                0.45651,                0.69755,                0.47164,                0.34436,                  1.039,                 1.7714,                0.88105,               0.001469,               0.001469,               0.001469
                     39,                 1.1919,                  1.781,                0.92851,                0.47023,                0.72071,                0.47718,                0.33876,                  1.088,                  1.719,                0.89699,              0.0014635,              0.0014635,              0.0014635
                     40,                 1.0822,                 1.6163,                0.92381,                0.47023,                0.72071,                0.47718,                0.33876,                  1.088,                  1.719,                0.89699,               0.001458,               0.001458,               0.001458
                     41,                 1.1733,                 1.7223,                0.91674,                0.47023,                0.72071,                0.47718,                0.33876,                  1.088,                  1.719,                0.89699,              0.0014525,              0.0014525,              0.0014525
                     42,                 1.1621,                 1.7443,                0.89372,                0.48463,                0.74387,                0.49024,                0.34389,                 1.1098,                 1.6801,                0.90885,               0.001447,               0.001447,               0.001447
                     43,                 1.1712,                 1.6298,                0.95262,                0.48463,                0.74387,                0.49024,                0.34389,                 1.1098,                 1.6801,                0.90885,              0.0014415,              0.0014415,              0.0014415
                     44,                 1.1988,                  1.644,                0.94552,                0.48463,                0.74387,                0.49024,                0.34389,                 1.1098,                 1.6801,                0.90885,               0.001436,               0.001436,               0.001436
                     45,                  1.193,                 1.6703,                0.91892,                0.48469,                0.74387,                0.49973,                0.35252,                 1.1175,                  1.666,                0.91058,              0.0014305,              0.0014305,              0.0014305
                     46,                 1.1247,                 1.5022,                 0.9187,                0.48469,                0.74387,                0.49973,                0.35252,                 1.1175,                  1.666,                0.91058,               0.001425,               0.001425,               0.001425
                     47,                 1.2228,                 1.6893,                0.93724,                0.48469,                0.74387,                0.49973,                0.35252,                 1.1175,                  1.666,                0.91058,              0.0014195,              0.0014195,              0.0014195
                     48,                 1.0897,                 1.5922,                0.90832,                0.48897,                0.75068,                0.51412,                0.38248,                 1.0186,                 1.5885,                0.89203,              0.0014139,              0.0014139,              0.0014139
                     49,                 1.0907,                 1.4715,                0.93536,                0.48897,                0.75068,                0.51412,                0.38248,                 1.0186,                 1.5885,                0.89203,              0.0014084,              0.0014084,              0.0014084
                     50,                  1.239,                 1.5954,                0.93933,                0.48897,                0.75068,                0.51412,                0.38248,                 1.0186,                 1.5885,                0.89203,              0.0014029,              0.0014029,              0.0014029
                     51,                 1.0531,                 1.5041,                 0.9198,                0.48896,                0.75068,                0.52221,                0.38541,                0.99908,                  1.569,                0.87861,              0.0013974,              0.0013974,              0.0013974
                     52,                 1.0798,                 1.4213,                0.92129,                0.48896,                0.75068,                0.52221,                0.38541,                0.99908,                  1.569,                0.87861,              0.0013919,              0.0013919,              0.0013919
                     53,                 1.1165,                 1.6025,                 0.9216,                0.48896,                0.75068,                0.52221,                0.38541,                0.99908,                  1.569,                0.87861,              0.0013864,              0.0013864,              0.0013864
                     54,                 1.1331,                 1.5301,                0.90897,                0.48896,                0.75068,                0.52221,                0.38541,                0.99908,                  1.569,                0.87861,              0.0013809,              0.0013809,              0.0013809
                     55,                 1.1356,                 1.4753,                0.91611,                0.48987,                0.75204,                0.51956,                0.38026,                 1.0176,                 1.5352,                 0.8796,              0.0013754,              0.0013754,              0.0013754
                     56,                  1.156,                  1.562,                0.91196,                0.48987,                0.75204,                0.51956,                0.38026,                 1.0176,                 1.5352,                 0.8796,              0.0013699,              0.0013699,              0.0013699
                     57,                 1.0814,                 1.4984,                0.91655,                0.48987,                0.75204,                0.51956,                0.38026,                 1.0176,                 1.5352,                 0.8796,              0.0013644,              0.0013644,              0.0013644
                     58,                 1.0661,                 1.4063,                0.92066,                0.48641,                0.74383,                0.51872,                0.38114,                 1.0308,                 1.5151,                0.88194,              0.0013589,              0.0013589,              0.0013589
                     59,                 1.1242,                 1.4995,                0.90737,                0.48641,                0.74383,                0.51872,                0.38114,                 1.0308,                 1.5151,                0.88194,              0.0013534,              0.0013534,              0.0013534
                     60,                  1.157,                  1.591,                0.89443,                0.48641,                0.74383,                0.51872,                0.38114,                 1.0308,                 1.5151,                0.88194,              0.0013479,              0.0013479,              0.0013479
                     61,                 1.1345,                 1.4042,                0.91451,                0.49155,                0.75477,                0.52953,                0.39091,                 1.0233,                 1.5168,                0.87968,              0.0013424,              0.0013424,              0.0013424
                     62,                  1.146,                 1.4139,                0.91695,                0.49155,                0.75477,                0.52953,                0.39091,                 1.0233,                 1.5168,                0.87968,              0.0013369,              0.0013369,              0.0013369
                     63,                 1.0513,                 1.2518,                0.89095,                0.49155,                0.75477,                0.52953,                0.39091,                 1.0233,                 1.5168,                0.87968,              0.0013314,              0.0013314,              0.0013314
                     64,                 1.0961,                  1.445,                0.89749,                0.49282,                0.75687,                0.53659,                0.41113,                0.94289,                 1.4248,                 0.8689,              0.0013259,              0.0013259,              0.0013259
